,Producto_ID,NombreProducto,short_name,brand,weight,pieces,short_name_processed,cluster
145,2064,Peineta Danes Pina Congelada 80g Cj DH 2064,Peineta Danes Pina Congelada ,DH,80.0,,peinet dan pin congel,5
146,2065,Cuerno Congelado 80g Cj DH 2065,Cuerno Congelado ,DH,80.0,,cuern congel,5
147,2095,Pan Doble Fibra 750g BIM 2095,Pan Doble Fibra ,BIM,750.0,,pan dobl fibr,22
148,2096,Pan Doble Fibra 530g BIM 2096,Pan Doble Fibra ,BIM,530.0,,pan dobl fibr,22
149,2097,Concha Chicharron Cong 77g Cj DH 2097,Concha Chicharron Cong ,DH,77.0,,conch chicharron cong,22
150,2122,Pan Blanco 567g SUN 2122,Pan Blanco ,SUN,567.0,,pan blanc,22
151,2130,Pan de Linaza 475g WON 2130,Pan de Linaza ,WON,475.0,,pan linaz,22
152,2185,Molido Industrial 25Kg BIM 2185,Molido Industrial ,BIM,25000.0,,mol industrial,22
153,2230,Principe 6p 64g MLA 2230,Principe ,MLA,64.0,6.0,princip,22
154,2233,Pan Blanco 640g BIM 2233,Pan Blanco ,BIM,640.0,,pan blanc,22
155,2261,Runners 58g BAR 2261,Runners ,BAR,58.0,,runners,22
156,2290,Wonder 100pct gde 680g WON 2290,Wonder ,WON,680.0,,wond,22
157,2309,Mantecadas 2p 62 5g BIM 2309,Mantecadas ,BIM,5.0,2.0,mantec,22
158,2320,Barritas Fresa Salvado 67g Prom MLA 2320,Barritas Fresa Salvado ,MLA,67.0,,barrit fres salv,22
159,2425,Nito 1p 62g Central BIM 2425,Nito ,BIM,62.0,1.0,nit,22
160,2438,Molido 25Kg BIM 2438,Molido ,BIM,25000.0,,mol,22
161,2505,Mini Bigotes Chocolate 5p 65g SP TR 2505,Mini Bigotes Chocolate ,TR,65.0,5.0,mini bigot chocolat,22
162,2575,Vasos 226 8g8oz NES 2575,Vasos ,NES,8.0,,vas,22
163,2589,Vidrio Congelado 65g Cj DH 2589,Vidrio Congelado ,DH,65.0,,vidri congel,5
164,2604,Barrita Precocida 44g DH 2604,Barrita Precocida ,DH,44.0,,barrit precoc,22
165,2665,Tostada Ondulada Tubo 30p 360g Cj MR 2665,Tostada Ondulada Tubo ,MR,360.0,30.0,tost ondul tub,22
166,2734,Lors 8p 89g MLA 2734,Lors ,MLA,89.0,8.0,lors,22
167,2805,Donas Panera 10p 525g BIM 2805,Donas Panera ,BIM,525.0,10.0,don paner,22
168,2806,Donitas Panera 30p 525g BIM 2806,Donitas Panera ,BIM,525.0,30.0,donit paner,22
169,2808,Mantecadas Panera 16p 500g BIM 2808,Mantecadas Panera ,BIM,500.0,16.0,mantec paner,22
170,2810,Panquecitos Gotas Panera 10p 700g BIM 2810,Panquecitos Gotas Panera ,BIM,700.0,10.0,panquecit got paner,22
171,2816,Principe 8p 85g SP MLA 2816,Principe ,MLA,85.0,8.0,princip,22
172,2817,Plativolos 8p 74g MLA 2817,Plativolos ,MLA,74.0,8.0,plativol,22
173,3030,Tostado Blanco 180g WON 3030,Tostado Blanco ,WON,180.0,,tost blanc,22
174,3144,Pan Multigrano 540g BIM 3144,Pan Multigrano ,BIM,540.0,,pan multigran,22
175,3160,Tostada Ond Roja Tubo 30p 360g MR 3160,Tostada Ond Roja Tubo ,MR,360.0,30.0,tost ond roj tub,22
176,3230,Principe Chocolate Blanco 8p 88g MLA 3230,Principe Chocolate Blanco ,MLA,88.0,8.0,princip chocolat blanc,22
177,3256,Orejas 70g SP TR 3256,Orejas ,TR,70.0,,orej,22
178,3270,Conchas Vainilla 2p 120g BIM 3270,Conchas Vainilla ,BIM,120.0,2.0,conch vainill,22
179,3303,Barritas Pina 67g Prom MLA 3303,Barritas Pina ,MLA,67.0,,barrit pin,22
180,3305,Barritas Fresa 67g Prom MLA 3305,Barritas Fresa ,MLA,67.0,,barrit fres,22
181,3319,Pastisetas 20p 150g SUA 3319,Pastisetas ,SUA,150.0,20.0,pastiset,22
182,3320,Pastiseta 40p 300g SUA 3320,Pastiseta ,SUA,300.0,40.0,pastiset,22
183,3333,Pastisetas 75g SUA 3333,Pastisetas ,SUA,75.0,,pastiset,22
184,3402,Animalitos 2Kg LAR 3402,Animalitos ,LAR,2000.0,,animalit,22
185,3415,Canapinas KC 560g LAR 3415,Canapinas KC ,LAR,560.0,,canapin kc,22
186,3428,Deliciosas 6Kg LAR 3428,Deliciosas ,LAR,6000.0,,delici,22
187,3435,Canapinas 115g LAR 3435,Canapinas ,LAR,115.0,,canapin,22
188,3446,Magnas 200g LAR 3446,Magnas ,LAR,200.0,,magn,22
189,3447,Deliciosas 300g LAR 3447,Deliciosas ,LAR,300.0,,delici,22
190,3509,Paletina para Cafe NES 3509,Paletina para Cafe NES ,NES,,,paletin caf nes,22
191,3510,Saladas 140g LAR 3510,Saladas ,LAR,140.0,,sal,22
192,3518,Animalitos Karamelo 200g LAR 3518,Animalitos Karamelo ,LAR,200.0,,animalit karamel,22
193,3525,Canapinas 95g LAR 3525,Canapinas ,LAR,95.0,,canapin,22
194,3526,Canapinas 95g SP LAR 3526,Canapinas ,LAR,95.0,,canapin,22
195,3530,Marias 170g LAR 3530,Marias ,LAR,170.0,,mari,22
196,3535,Decanelas 100g LAR 3535,Decanelas ,LAR,100.0,,decanel,22
197,3555,Deliciosas 115g LAR 3555,Deliciosas ,LAR,115.0,,delici,22
198,3606,Tortilla Hna 750g 18p RW Sonora DH 3606,Tortilla Hna ,DH,750.0,18.0,tortill hna,22
199,3609,Mantecadas Chocolate 3p TR 3609,Mantecadas Chocolate ,TR,,3.0,mantec chocolat,22
200,3621,Super Pan Blanco 740g Prom TNB BIM 3621,Super Pan Blanco ,BIM,740.0,,sup pan blanc,22
201,3631,Pan Integral 370g BIM 3631,Pan Integral ,BIM,370.0,,pan integral,22
202,3678,Bimbollos 8p 450g Prom BIM 3678,Bimbollos ,BIM,450.0,8.0,bimboll,22
203,3687,Medias Noches Jumbo 500g BIM 3687,Medias Noches Jumbo ,BIM,500.0,,medi noch jumb,22
204,3718,Cuernitos Famili Pack 3p 150g MTA TR 3718,Cuernitos Famili Pack ,TR,150.0,3.0,cuernit famili pack,22
205,3720,Bran Frut Manzana Canela 40g BIM 3720,Bran Frut Manzana Canela ,BIM,40.0,,bran frut manzan canel,22
206,3826,Palitrigos 100g BIM 3826,Palitrigos ,BIM,100.0,,palitrig,22
207,3894,Sponch 8p 120g MLA 3894,Sponch ,MLA,120.0,8.0,sponch,22
208,3919,Barra Multigrano Linaza 32g BIM 3919,Barra Multigrano Linaza ,BIM,32.0,,barr multigran linaz,22
209,3944,Saladas 175g CU LAR 3944,Saladas ,LAR,175.0,,sal,22
210,3970,Tostada Plana de Maiz 20p 180g TN DH 3970,Tostada Plana de Maiz ,DH,180.0,20.0,tost plan maiz,22
211,3977,Bran Frut Fresa 6p 240g BIM 3977,Bran Frut Fresa ,BIM,240.0,6.0,bran frut fres,22
212,3978,Bran Frut Pina 6p 240g BIM 3978,Bran Frut Pina ,BIM,240.0,6.0,bran frut pin,22
213,4053,Bimkingo Jalapeno 86g CU LON 4053,Bimkingo Jalapeno ,LON,86.0,,bimking jalapen,22
214,4085,Triki Trakes 8p 69g MLA 4085,Triki Trakes ,MLA,69.0,8.0,triki trak,22
215,4087,Lors KC 497g MLA 4087,Lors KC ,MLA,497.0,,lors kc,22
216,4102,Mantecada Vainilla 3p 157g Prom TAB TR 4102,Mantecada Vainilla ,TR,157.0,3.0,mantec vainill,22
217,4109,Tortilla Hna 22p 840g RW Ch DH 4109,Tortilla Hna ,DH,840.0,22.0,tortill hna,22
218,4118,Tortillas Bolsa 2a 1kg 4118,Tortillas Bolsa ,,,,tortill bols,22
219,4126,Pan Cero Cero 0pct Azucar 567g WON 4126,Pan Cero Cero ,WON,567.0,,pan cer cer,22
220,4135,Pan Empacado Bolsa 2a 1Kg BIM 4135,Pan Empacado Bolsa ,BIM,1000.0,,pan empac bols,22
221,4136,Pasteles o Galletas Bolsa de 2a 1kg MLA 4136,Pasteles o Galletas Bolsa de ,MLA,,,pastel gallet bols,22
222,4139,Pan Dulce Bolsa 2a 1Kg BIM 4139,Pan Dulce Bolsa ,BIM,1000.0,,pan dulc bols,22
223,4150,Bollo Parrillero 6p 585g BIM 4150,Bollo Parrillero ,BIM,585.0,6.0,boll parriller,22
224,4152,Medias Noches 12p 510g BIM 4152,Medias Noches ,BIM,510.0,12.0,medi noch,22
225,4153,Pan Blanco 640g Consumos Breddy BIM 4153,Pan Blanco ,BIM,640.0,,pan blanc,22
226,4169,Mantecadas 2p 62 5g MTB BIM 4169,Mantecadas ,BIM,5.0,2.0,mantec,22
227,4189,Sponch Navidad 120g Cj TAB MLA 4189,Sponch Navidad ,MLA,120.0,,sponch navid,22
228,4190,Sponch Navidad 120g Cj MLA 4190,Sponch Navidad ,MLA,120.0,,sponch navid,22
229,4220,Bigotes Chocolate 60g SP TR 4220,Bigotes Chocolate ,TR,60.0,,bigot chocolat,22
230,4221,Bigotes Cajeta 60g TR 4221,Bigotes Cajeta ,TR,60.0,,bigot cajet,22
231,4234,Div Tira Mini Doradita 4p 45g Tir TR 4234,Div Tira Mini Doradita ,TR,45.0,4.0,div tir mini doradit,22
232,4240,Mantecadas 2p SP TR 4240,Mantecadas ,TR,,2.0,mantec,22
233,4245,Conchas 2p 120g TR 4245,Conchas ,TR,120.0,2.0,conch,22
234,4259,Conchas 3p 180g Prom TR 4259,Conchas ,TR,180.0,3.0,conch,22
235,4270,Cuernitos 100g TR 4270,Cuernitos ,TR,100.0,,cuernit,22
236,4280,Doraditas 110g TR 4280,Doraditas ,TR,110.0,,doradit,22
237,4301,Medias Noches 8p 340g TNB BIM 4301,Medias Noches ,BIM,340.0,8.0,medi noch,22
238,4304,Mantecadas Chocolate SP 2p 95g TR 4304,Mantecadas Chocolate SP ,TR,95.0,2.0,mantec chocolat sp,22
239,4385,Tostada Ondulada Tubo 30p 360g Tn MR 4385,Tostada Ondulada Tubo ,MR,360.0,30.0,tost ondul tub,22
240,4468,Wonder 100pct Ajonjoli 680g SP WON 4468,Wonder ,WON,680.0,,wond,22
241,4477,Tostada Ondulada Tubo 20p 240g MR 4477,Tostada Ondulada Tubo ,MR,240.0,20.0,tost ondul tub,22
242,4482,Chocochispas 220g LAR 4482,Chocochispas ,LAR,220.0,,chocochisp,22
243,4512,Bollos BK 5in 6p 489g SL 4512,Bollos BK ,SL,489.0,6.0,boll bk,22
244,4513,Bollos BK 4in 6p 345g SL 4513,Bollos BK ,SL,345.0,6.0,boll bk,22
245,4514,Medias Noches BK 6p 470g SL 4514,Medias Noches BK ,SL,470.0,6.0,medi noch bk,22
246,4624,Cajeta Espreable Envinada 660g COR 4624,Cajeta Espreable Envinada ,COR,660.0,,cajet espreabl envin,22
247,4733,Bimkingo Jalapeno 86g LON 4733,Bimkingo Jalapeno ,LON,86.0,,bimking jalapen,22
248,4767,Tostado Doble Fibra 250g Cj BIM 4767,Tostado Doble Fibra ,BIM,250.0,,tost dobl fibr,22
249,4773,Tostada Ond Tubo 30p 360g Prom CU MR 4773,Tostada Ond Tubo ,MR,360.0,30.0,tost ond tub,22
250,4774,Pan Blanco 640g CU BIM 4774,Pan Blanco ,BIM,640.0,,pan blanc,22
251,4820,Super Hot Dogs 12p 650g WON 4820,Super Hot Dogs ,WON,650.0,12.0,sup hot dogs,22
252,4838,Pan Blanco 680g CU BIM 4838,Pan Blanco ,BIM,680.0,,pan blanc,22
253,4859,Sandwichon 115g Cj LON 4859,Sandwichon ,LON,115.0,,sandwichon,22
254,4910,Empanizador Crujiente 175g BIM 4910,Empanizador Crujiente ,BIM,175.0,,empaniz crujient,22
255,4919,Cajeta Espreable Quemada 660g COR 4919,Cajeta Espreable Quemada ,COR,660.0,,cajet espreabl quem,22
256,4943,Canelitas Vips 250g Tubo CU MLA 4943,Canelitas Vips ,MLA,250.0,,canelit vips,22
257,4944,Bimbolunch 6p 354g ME BIM 4944,Bimbolunch ,BIM,354.0,6.0,bimbolunch,22
258,4946,Panera Polvoron 14p 65g TR 4946,Panera Polvoron ,TR,65.0,14.0,paner polvoron,22
259,4947,Baguette Precocida Cong 280g Cj DH 4947,Baguette Precocida Cong ,DH,280.0,,baguett precoc cong,22
260,5000,Gansito 1p 50g CCharola MLA 5000,Gansito ,MLA,50.0,1.0,gansit,22
261,5015,Triki Trakes Chocolate 69g MLA 5015,Triki Trakes Chocolate ,MLA,69.0,,triki trak chocolat,22
262,5052,Nito 1p 62g Central TAB BIM 5052,Nito ,BIM,62.0,1.0,nit,22
263,5200,Coca Cola Lata 355ml CC 5200,Coca Cola Lata ,CC,,,coc col lat,22
